,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,Rush Hour,traffic_volume,prediction
42,,266.15,0.0,0.0,90,4,0,3698,2406.42005809919
43,,266.86,0.0,0.0,90,4,0,3400,2419.750952468984
44,,266.86,0.0,0.0,90,3,0,3400,2581.0918173332784
45,,267.15,0.0,0.0,90,4,0,3694,2425.1959656622794
46,,267.15,0.0,0.0,90,3,0,3694,2586.536830526574
47,,267.28,0.0,0.0,40,4,0,3851,2195.995820890659
48,,266.88,0.0,0.0,5,1,0,3529,2510.3593435299326
49,,266.15,0.0,0.0,1,1,1,3196,4030.838416488379
50,,265.22,0.0,0.0,75,4,1,2549,3872.1829267389603
51,,264.15,0.0,0.0,75,4,1,2339,3852.0927056464534
52,,263.22,0.0,0.0,75,4,0,2460,2281.914345112894
53,,261.86,0.0,0.0,75,4,0,2576,2256.3791108270925
54,,261.86,0.0,0.0,75,3,0,2576,2417.719975691387
55,,261.02,0.0,0.0,40,4,0,2300,2078.458639545722
56,,259.37,0.0,0.0,1,1,0,1565,2350.8209967107477
57,Christmas Day,257.95,0.0,0.0,1,1,0,1092,2324.159207971161
58,,256.95,0.0,0.0,1,1,0,666,2305.3833004080716
59,,256.28,0.0,0.0,90,4,0,487,2221.1018504515005
60,,256.35,0.0,0.0,90,4,0,349,2222.416163980918
61,,255.93,0.0,0.0,40,1,0,339,2466.911864642482
62,,255.68,0.0,0.0,75,1,0,520,2624.3665966800854
63,,256.15,0.0,0.0,90,4,0,798,2218.660982468299
64,,256.15,0.0,0.0,90,3,0,798,2380.0018473325936
65,,255.75,0.0,0.0,90,3,1,942,3925.2082508072463
66,,255.75,0.0,0.0,90,3,1,942,3925.2082508072463
67,,255.07,0.0,0.0,40,3,1,1260,3680.7996209095245
68,,255.07,0.0,0.0,40,4,1,1260,3519.45875604523
69,,253.86,0.0,0.0,20,3,1,1760,3565.4243676562583
70,,253.43,0.0,0.0,20,3,0,2292,2004.6339609042416
71,,253.58,0.0,0.0,75,1,0,2653,2584.9371907975983
72,,253.65,0.0,0.0,20,3,0,2957,2008.7646605681211
73,,254.15,0.0,0.0,75,1,0,2983,2595.6394581085588
74,,254.29,0.0,0.0,40,1,0,2850,2436.1193762390158
75,,254.42,0.0,0.0,40,1,0,2732,2438.560244222217
76,,254.28,0.0,0.0,40,1,0,3045,2435.9316171633845
77,,253.51,0.0,0.0,40,1,1,3134,3974.190934839694
78,,253.65,0.0,0.0,40,1,1,3172,3976.8195618985264
79,,253.57,0.0,0.0,5,1,1,3100,3813.168780365105
80,,253.23,0.0,0.0,5,1,0,2875,2254.0682052937664
81,,253.0,0.0,0.0,5,1,0,2404,2249.7497465542565
82,,252.76,0.0,0.0,1,1,0,1798,2226.7122477187286
83,,252.57,0.0,0.0,1,1,0,1147,2223.1448252817418
84,,252.0,0.0,0.0,1,1,0,539,2212.4425579707813
85,,251.86,0.0,0.0,1,1,0,326,2209.813930911949
86,,251.29,0.0,0.0,1,1,0,213,2199.1116636009874
87,,251.15,0.0,0.0,1,1,0,261,2196.483036542156
88,,251.15,0.0,0.0,1,1,0,507,2196.483036542156
89,,250.79,0.0,0.0,1,1,0,1761,2189.7237098194437
90,,250.43,0.0,0.0,1,1,0,3029,2182.9643830967316
91,,250.29,0.0,0.0,5,1,1,3203,3751.583803558173
92,,250.56,0.0,0.0,20,1,1,2982,3826.1456024266527
93,,250.61,0.0,0.0,1,1,1,3013,3739.060812957976
94,,251.14,0.0,0.0,5,1,0,3396,2214.8265584869105
95,,252.14,0.0,0.0,5,1,0,3983,2233.6024660499997
96,,253.29,0.0,0.0,1,1,0,4197,2236.663478727166
97,,254.15,0.0,0.0,1,1,0,4487,2252.8107592314227
98,,254.79,0.0,0.0,1,1,0,4828,2264.8273400718
99,,255.36,0.0,0.0,1,1,0,5172,2275.5296073827603
100,,255.61,0.0,0.0,5,1,0,5282,2298.7548652939186
101,,255.15,0.0,0.0,5,1,1,4561,3842.8347143147857
102,,254.57,0.0,0.0,5,1,1,3598,3831.944687928194
103,,253.9,0.0,0.0,1,1,1,2846,3800.8335488405382
104,,252.93,0.0,0.0,5,1,0,2369,2248.4354330248398
105,,253.53,0.0,0.0,5,1,0,2031,2259.700977562694
106,,252.72,0.0,0.0,1,1,0,1882,2225.9612114162055
107,,252.43,0.0,0.0,1,1,0,1065,2220.516198222909
108,,251.84,0.0,0.0,1,1,0,586,2209.4384127606872
109,,251.29,0.0,0.0,1,1,0,378,2199.1116636009874
110,,251.07,0.0,0.0,1,1,0,272,2194.980963937108
111,,250.68,0.0,0.0,1,1,0,330,2187.658359987504
112,,250.08,0.0,0.0,1,1,0,712,2176.3928154496507
113,,249.84,0.0,0.0,1,1,0,2287,2171.8865976345087
114,,249.29,0.0,0.0,75,1,0,4250,2504.388547351946
115,,249.38,0.0,0.0,5,1,1,4453,3734.497727675762
116,,249.3,0.0,0.0,5,1,1,4124,3732.9956550707147
117,,249.45,0.0,0.0,1,1,1,3950,3717.2807601847917
118,,251.68,0.0,0.0,5,3,0,3858,1902.2838188423902
119,,253.07,0.0,0.0,5,1,0,4401,2251.0640600836723
120,,254.86,0.0,0.0,5,1,0,4752,2284.6729346216025
121,,255.83,0.0,0.0,20,1,0,4836,2372.377868784244
122,,257.21,0.0,0.0,20,1,0,5250,2398.288621221307
123,,257.71,0.0,0.0,40,1,0,5398,2500.3329801047803
124,,257.38,0.0,0.0,40,1,0,5997,2494.136930608961
125,,257.57,0.0,0.0,1,1,1,5397,3869.741129597075
126,,256.14,0.0,0.0,75,1,1,4295,4185.720280658994
127,,256.32,0.0,0.0,75,1,1,2941,4189.0999440203495
128,,255.73,0.0,0.0,40,1,0,2482,2463.156683129864
129,,255.76,0.0,0.0,40,1,0,2971,2463.719960356757
130,,256.15,0.0,0.0,1,1,0,3074,2290.3625743576004
131,,256.9,0.0,0.0,1,1,0,1310,2304.4445050299173
132,,256.76,0.0,0.0,40,4,0,732,1998.473273326962
133,,256.79,0.0,0.0,75,4,0,412,2161.1852594822312
134,,257.22,0.0,0.0,90,4,0,288,2238.751203560805
135,,257.29,0.0,0.0,90,4,0,373,2240.065517090222
136,,257.29,0.0,0.0,90,3,0,373,2401.4063819545163
137,,257.48,0.0,0.0,90,4,0,743,2243.6329395272087
138,,257.48,0.0,0.0,90,3,0,743,2404.973804391503
139,,257.43,0.0,0.0,90,4,0,2217,2242.6941441490535
140,,257.43,0.0,0.0,90,3,0,2217,2404.035009013348
141,,257.43,0.0,0.0,90,3,0,2217,2404.035009013348
142,,257.3,0.0,0.0,90,4,0,3997,2240.253276165852
143,,257.3,0.0,0.0,90,3,0,3997,2401.5941410301466
144,,257.3,0.0,0.0,90,3,0,3997,2401.5941410301466
145,,257.61,0.0,0.0,90,4,1,3699,3798.790574010298
146,,257.61,0.0,0.0,90,3,1,3699,3960.1314388745923
147,,257.61,0.0,0.0,90,3,1,3699,3960.1314388745923
148,,257.57,0.0,0.0,90,4,1,2745,3798.039537707774
149,,257.57,0.0,0.0,90,3,1,2745,3959.3804025720683
150,,257.79,0.0,0.0,90,4,1,3529,3802.1702373716544
151,,257.79,0.0,0.0,90,3,1,3529,3963.511102235949
152,,257.79,0.0,0.0,90,3,1,3529,3963.511102235949
153,,258.3,0.0,0.0,90,4,0,3562,2259.0291837289415
154,,258.3,0.0,0.0,90,3,0,3562,2420.370048593236
155,,258.3,0.0,0.0,90,3,0,3562,2420.370048593236
156,,258.68,0.0,0.0,75,4,0,3433,2196.671724776469
157,,258.68,0.0,0.0,75,3,0,3433,2358.0125896407635
158,,258.68,0.0,0.0,75,3,0,3433,2358.0125896407635
159,,259.36,0.0,0.0,90,4,0,3994,2278.9316457458162
160,,259.36,0.0,0.0,90,3,0,3994,2440.2725106101107
161,,260.07,0.0,0.0,90,4,0,3931,2292.2625401156083
162,,260.07,0.0,0.0,90,3,0,3931,2453.6034049799027
163,,260.29,0.0,0.0,90,4,0,4308,2296.393239779489
164,,260.29,0.0,0.0,90,3,0,4308,2457.734104643783
165,,260.45,0.0,0.0,90,4,0,4515,2299.397384989583
166,,260.45,0.0,0.0,90,3,0,4515,2460.7382498538773
167,,260.84,0.0,0.0,90,4,0,5141,2306.719988939187
168,,260.84,0.0,0.0,90,3,0,5141,2468.060853803481
169,,260.65,0.0,0.0,90,4,1,4520,3855.869333002088
170,,260.65,0.0,0.0,90,3,1,4520,4017.2101978663823
171,,260.76,0.0,0.0,90,4,1,3764,3857.9346828340276
172,,260.64,0.0,0.0,90,4,1,2849,3855.6815739264575
173,,260.29,0.0,0.0,90,4,0,2299,2296.393239779489
174,,260.46,0.0,0.0,90,4,0,2180,2299.585144065213
175,,260.0,0.0,0.0,90,4,0,1916,2290.9482265861925
176,,260.0,0.0,0.0,90,3,0,1916,2452.289091450487
177,,259.0,0.0,0.0,90,4,0,1177,2272.1723190231032
178,,258.36,0.0,0.0,75,4,0,741,2190.663434356281
179,,257.07,0.0,0.0,75,4,0,437,2166.4425135998954
180,,256.15,0.0,0.0,1,1,0,358,2290.3625743576004
181,,255.57,0.0,0.0,20,1,0,383,2367.4961328178406
182,,255.01,0.0,0.0,1,1,0,694,2268.9580397356794
183,,254.99,0.0,0.0,40,1,0,2207,2449.2625115331784
184,,254.61,0.0,0.0,1,1,0,3875,2261.4476767104443
185,,254.07,0.0,0.0,90,1,1,4148,4216.346455829846
186,,254.53,0.0,0.0,90,1,1,3897,4224.983373308866
187,,254.53,0.0,0.0,1,1,1,3845,3812.662370605284
188,,254.64,0.0,0.0,90,3,0,4109,2351.6502269123293
189,,254.92,0.0,0.0,90,4,0,4345,2195.5666161657
190,,255.5,0.0,0.0,90,4,0,4496,2206.4566425522917
191,,255.76,0.0,0.0,90,4,0,4474,2211.338378518695
192,,256.15,0.0,0.0,90,4,0,4750,2218.660982468299
193,,256.15,0.0,0.0,90,3,0,4750,2380.0018473325936
194,,256.61,0.0,0.0,90,4,0,4767,2227.2978999473207
195,,256.61,0.0,0.0,90,3,0,4767,2388.638764811615
196,,256.58,0.0,0.0,90,4,0,4859,2226.734622720428
197,,256.58,0.0,0.0,90,3,0,4859,2388.0754875847224
198,,256.58,0.0,0.0,90,4,1,4564,3779.451389220316
199,,256.58,0.0,0.0,90,3,1,4564,3940.7922540846102
200,,256.61,0.0,0.0,90,4,1,3929,3780.0146664472086
201,,256.61,0.0,0.0,90,3,1,3929,3941.355531311503
202,,256.53,0.0,0.0,90,4,1,3016,3778.5125938421606
203,,255.93,0.0,0.0,90,4,0,2470,2214.5302828044205
204,,255.08,0.0,0.0,40,1,0,2554,2450.9523432138567
205,,254.65,0.0,0.0,1,1,0,3725,2262.1987130129673
206,,253.72,0.0,0.0,1,1,0,1684,2244.737118979295
207,,252.94,0.0,0.0,1,1,0,1092,2230.091911080085
208,,251.79,0.0,0.0,1,1,0,666,2208.499617382532
209,,251.07,0.0,0.0,1,1,0,487,2194.980963937108
210,,250.44,0.0,0.0,1,1,0,349,2183.152142172362
211,,249.69,0.0,0.0,1,1,0,339,2169.070211500046
212,,249.07,0.0,0.0,1,1,0,601,2157.42914881093
213,,248.44,0.0,0.0,1,1,0,1006,2145.6003270461842
214,,247.84,0.0,0.0,5,1,1,1216,3705.582830028605
215,,247.29,0.0,0.0,5,1,1,1681,3695.256080868905
216,,247.15,0.0,0.0,5,1,1,2412,3692.6274538100733
217,,247.79,0.0,0.0,5,1,0,3188,2151.9272681505618
218,,248.84,0.0,0.0,5,1,0,3716,2171.6419710918053
219,,249.53,0.0,0.0,5,1,0,4160,2184.5973473103368
220,,250.38,0.0,0.0,1,1,0,4197,2182.0255877185773
221,,251.5,0.0,0.0,5,1,0,4003,2221.5858852096226
222,,251.69,0.0,0.0,1,1,0,3831,2206.6220266262235
223,,251.68,0.0,0.0,40,1,0,4288,2387.1142574993537
224,,251.54,0.0,0.0,40,1,1,4376,3937.202396940408
225,,250.61,0.0,0.0,1,1,1,4514,3739.060812957976
226,,250.46,0.0,0.0,40,1,1,3380,3916.9244167722727
227,,250.68,0.0,0.0,40,1,0,2597,2368.3383499362644
228,,251.23,0.0,0.0,75,1,0,2271,2540.813808024339
229,,251.15,0.0,0.0,1,1,0,2352,2196.483036542156
230,,251.38,0.0,0.0,1,1,0,2680,2200.8014952816657
231,,251.15,0.0,0.0,1,1,0,1000,2196.483036542156
232,,251.01,0.0,0.0,1,1,0,711,2193.8544094833233
233,,250.93,0.0,0.0,1,1,0,519,2192.352336878276
234,,250.36,0.0,0.0,1,1,0,303,2181.6500695673158
235,,249.99,0.0,0.0,1,1,0,285,2174.7029837689724
236,,249.15,0.0,0.0,1,1,0,457,2158.9312214159772
237,,248.31,0.0,0.0,1,1,0,808,2143.159459062983
238,,247.15,0.0,0.0,5,1,1,959,3692.6274538100733
239,,246.36,0.0,0.0,5,1,1,1319,3677.7944868352333
240,,246.15,0.0,0.0,1,1,1,2384,3655.320265226598
241,,246.68,0.0,0.0,5,1,0,3504,2131.0860107555336
242,,247.37,0.0,0.0,1,1,0,3404,2125.510105953679
243,,249.14,0.0,0.0,5,1,0,3438,2177.274743360732
244,,250.22,0.0,0.0,5,1,0,3212,2197.5527235288682
245,,251.15,0.0,0.0,1,1,0,3410,2196.483036542156
246,,251.93,0.0,0.0,1,1,0,3635,2211.1282444413655
247,,252.46,0.0,0.0,1,1,0,3802,2221.079475449802
248,,252.0,0.0,0.0,1,1,1,3513,3765.159324470669
249,,250.92,0.0,0.0,5,1,1,3350,3763.4126253229188
250,,249.84,0.0,0.0,1,1,1,2995,3724.6033641343965
251,,249.79,0.0,0.0,5,1,0,2731,2189.4790832767403
252,,249.61,0.0,0.0,5,1,0,2483,2186.0994199153847
253,,249.5,0.0,0.0,1,1,0,2041,2165.502789063058
254,,249.45,0.0,0.0,1,1,0,1580,2164.563993684904
255,New Years Day,249.36,0.0,0.0,1,1,0,1478,2162.8741620042265
256,,249.08,0.0,0.0,1,1,0,1408,2157.6169078865614
257,,248.86,0.0,0.0,1,1,0,931,2153.486208222682
258,,248.72,0.0,0.0,1,1,0,585,2150.8575811638493
259,,248.43,0.0,0.0,1,1,0,381,2145.412567970553
260,,248.07,0.0,0.0,1,1,0,434,2138.653241247841
261,,248.15,0.0,0.0,1,1,0,686,2140.155313852889
262,,247.76,0.0,0.0,1,1,1,677,3685.549476403171
263,,247.45,0.0,0.0,5,1,1,811,3698.260226079
264,,247.43,0.0,0.0,1,1,1,1122,3679.3534269073525
265,,248.91,0.0,0.0,1,1,0,1738,2154.425003600836
266,,250.65,0.0,0.0,1,1,0,2421,2187.095082760611
267,,251.99,0.0,0.0,1,1,0,2908,2212.25479889515
268,,253.29,0.0,0.0,1,1,0,2985,2236.663478727166
269,,254.79,0.0,0.0,5,1,0,3214,2283.358621092186
270,,255.46,0.0,0.0,1,1,0,3410,2277.40719813907
271,,255.79,0.0,0.0,5,1,0,3290,2302.134528655274
272,,255.15,0.0,0.0,1,1,1,3079,3824.3034332944
273,,253.86,0.0,0.0,5,1,1,2891,3818.613793558401
274,,253.31,0.0,0.0,1,1,1,2199,3789.7557633783163
275,,252.43,0.0,0.0,5,1,0,1738,2239.047479243295
276,,251.72,0.0,0.0,1,1,0,1555,2207.1853038531162
277,,251.53,0.0,0.0,1,1,0,1213,2203.6178814161294
278,,251.0,0.0,0.0,1,1,0,830,2193.666650407692
279,,251.14,0.0,0.0,1,1,0,477,2196.2952774665246
280,,251.07,0.0,0.0,1,3,0,279,1872.299234208519
281,,250.86,0.0,0.0,1,1,0,205,2191.0380233488604
282,,250.86,0.0,0.0,1,1,0,299,2191.0380233488604
283,,250.72,0.0,0.0,1,1,0,729,2188.409396290027
284,,250.43,0.0,0.0,1,1,0,2544,2182.9643830967316
285,,250.38,0.0,0.0,1,1,0,4801,2182.0255877185773
286,,249.93,0.0,0.0,5,1,1,5696,3744.8244768354607
287,,250.01,0.0,0.0,1,1,1,4901,3727.795268420122
288,,250.3,0.0,0.0,1,1,1,4189,3733.240281613418
289,,252.5,0.0,0.0,1,1,0,4065,2221.830511752326
290,,255.43,0.0,0.0,75,1,0,4172,2619.672619789313
291,,257.86,0.0,0.0,75,1,0,4448,2665.2980751676196
292,,260.64,0.0,0.0,90,1,0,4537,2786.987402019453
293,,261.72,0.0,0.0,90,1,0,4698,2807.2653821875892
294,,262.15,0.0,0.0,1,1,0,5232,2403.018019736135
295,,262.29,0.0,0.0,90,4,0,5618,2333.9450549056673
296,,262.29,0.0,0.0,90,3,0,5618,2495.2859197699618
297,,262.37,0.0,0.0,90,4,1,5178,3888.1638940106013
298,,262.37,0.0,0.0,90,3,1,5178,4049.5047588748957
299,,262.45,0.0,0.0,90,4,1,3625,3889.6659666156484
300,,262.45,0.0,0.0,90,3,1,3625,4051.006831479943
301,,263.07,0.0,0.0,90,4,1,2669,3901.307029304764
302,,263.07,0.0,0.0,90,3,1,2669,4062.6478941690584
303,,263.29,0.0,0.0,90,4,0,2056,2352.7209624687557
304,,263.53,0.0,0.0,90,4,0,2834,2357.227180283897
305,,262.94,0.0,0.0,90,4,0,2785,2346.149394821675
306,,262.48,0.0,0.0,90,4,0,1118,2337.512477342654
307,,261.79,0.0,0.0,90,4,0,599,2324.5571011241227
308,,260.86,0.0,0.0,90,3,0,353,2468.4363719547437
309,,260.86,0.0,0.0,90,4,0,353,2307.0955070904492
310,,260.06,0.0,0.0,90,3,0,283,2453.4156459042724
311,,258.72,0.0,0.0,40,1,0,358,2519.296646743501
312,,258.15,0.0,0.0,1,1,0,811,2327.914389483779
313,,257.0,0.0,0.0,1,1,0,2739,2306.322095786227
314,,256.58,0.0,0.0,1,1,0,5225,2298.436214609729
315,,255.93,0.0,0.0,40,1,1,6017,4019.62863114237
316,,255.43,0.0,0.0,5,1,1,5398,3848.091968432451
317,,255.23,0.0,0.0,1,1,1,5142,3825.805505899447
318,,256.08,0.0,0.0,5,1,0,4092,2307.5795418485704
319,,256.23,0.0,0.0,40,1,0,4328,2472.544636911409
320,,257.29,0.0,0.0,40,1,0,4600,2492.4470989282836
321,,257.93,0.0,0.0,40,1,0,4591,2504.46367976866
322,,258.38,0.0,0.0,20,1,0,4983,2420.2564330701216
323,,258.46,0.0,0.0,5,1,0,5589,2352.2662018487217
324,,258.46,0.0,0.0,5,1,0,6317,2352.2662018487217
325,,257.44,0.0,0.0,5,1,1,5951,3885.8315426342597
326,,256.22,0.0,0.0,5,1,1,4350,3862.9249354072917
327,,255.72,0.0,0.0,5,1,1,3144,3853.536981625746
328,,254.82,0.0,0.0,5,1,0,2319,2283.9218983190785
329,,254.22,0.0,0.0,5,1,0,2105,2272.6563537812244
330,,253.62,0.0,0.0,1,1,0,1517,2242.8595282229853
331,,253.51,0.0,0.0,1,1,0,991,2240.7941783910455
332,,252.82,0.0,0.0,1,1,0,529,2227.838802172514
333,,253.22,0.0,0.0,90,1,0,343,2647.670167901332
334,,253.86,0.0,0.0,90,1,0,247,2659.6867487417094
335,,253.86,0.0,0.0,40,1,0,325,2428.045735986888
336,,253.22,0.0,0.0,40,1,0,827,2416.0291551465107
337,,252.72,0.0,0.0,1,1,0,2757,2225.9612114162055
338,,252.14,0.0,0.0,1,1,0,5323,2215.071185029614
339,,252.72,0.0,0.0,40,1,1,6420,3959.357967864854
340,,252.14,0.0,0.0,90,1,1,4478,4180.108954233084
341,,253.38,0.0,0.0,90,1,1,4885,4203.391079611314
342,,253.85,0.0,0.0,75,1,0,4259,2590.006685839632
343,,254.29,0.0,0.0,90,1,0,4446,2667.7603889938373
344,,255.15,0.0,0.0,40,1,0,4738,2452.2666567432725
345,,256.01,0.0,0.0,40,1,0,4656,2468.4139372475283
346,,256.61,0.0,0.0,40,1,0,5094,2479.6794817853824
347,,256.95,0.0,0.0,40,1,0,5442,2486.063290356832
348,,257.28,0.0,0.0,40,1,0,6450,2492.2593398526515
349,,256.68,0.0,0.0,40,1,1,5993,4033.710561814687
350,,255.81,0.0,0.0,40,1,1,4377,4017.375522234799
351,,255.43,0.0,0.0,20,1,1,3071,3917.584272258897
352,,254.01,0.0,0.0,5,1,0,2646,2268.713413192976
353,,253.21,0.0,0.0,5,1,0,3933,2253.692687142505
354,,252.21,0.0,0.0,1,1,0,2422,2216.3854985590297
355,,251.35,0.0,0.0,1,1,0,1185,2200.238218054773
356,,250.75,0.0,0.0,1,1,0,630,2188.9726735169197
357,,249.88,0.0,0.0,1,1,0,379,2172.6376339370327
358,,250.08,0.0,0.0,1,1,0,301,2176.3928154496507
359,,249.79,0.0,0.0,1,1,0,335,2170.9478022563544
360,,249.01,0.0,0.0,1,1,0,813,2156.3025943571447
361,,249.65,0.0,0.0,1,1,0,2629,2168.319175197522
362,,249.54,0.0,0.0,1,1,0,5002,2166.253825365582
363,,249.38,0.0,0.0,5,1,1,5906,3734.497727675762
364,,248.79,0.0,0.0,5,1,1,4742,3723.419942213539
365,,249.0,0.0,0.0,1,3,1,4704,3386.1498720528134
366,,250.72,0.0,0.0,5,1,0,4279,2206.940677310413
367,,252.08,0.0,0.0,5,1,0,4566,2232.4759115962142
368,,253.41,0.0,0.0,40,1,0,4989,2419.5965775834975
369,,255.01,0.0,0.0,40,1,0,4968,2449.63802968444
370,,255.94,0.0,0.0,1,1,0,5315,2286.419633769352
371,,256.28,0.0,0.0,40,1,0,5867,2473.483432289562
372,,256.48,0.0,0.0,1,1,0,6504,2296.5586238534206
373,,255.82,0.0,0.0,40,1,1,6185,4017.5632813104294
374,,255.0,0.0,0.0,40,1,1,4611,4002.1670371086966
375,,253.58,0.0,0.0,40,1,1,3652,3975.5052483691106
376,,252.08,0.0,0.0,1,1,0,2880,2213.9446305758283
377,,250.75,0.0,0.0,5,1,0,2815,2207.5039545373056
378,,250.02,0.0,0.0,1,1,0,2978,2175.266260995865
379,,249.15,0.0,0.0,1,1,0,1805,2158.9312214159772
380,,248.62,0.0,0.0,1,1,0,1003,2148.97999040754
381,,247.65,0.0,0.0,1,3,0,673,1808.0856303427554
382,,247.82,0.0,0.0,1,3,0,483,1811.2775346284798
383,,247.35,0.0,0.0,1,1,0,319,2125.1345878024167
384,,247.15,0.0,0.0,1,1,0,383,2121.3794062897996
385,,247.15,0.0,0.0,1,1,0,694,2121.3794062897996
386,,247.08,0.0,0.0,1,1,0,1129,2120.065092760383
387,,247.21,0.0,0.0,5,1,1,1728,3693.754008263859
388,,247.62,0.0,0.0,5,3,1,2487,3378.7704006361364
389,,248.08,0.0,0.0,1,3,1,3046,3368.876037094771
390,,251.07,0.0,0.0,20,3,0,3593,1960.322819055351
391,,255.01,0.0,0.0,20,1,0,4092,2356.9816245825114
392,,257.36,0.0,0.0,20,1,0,4506,2401.105007355771
393,,259.08,0.0,0.0,1,1,0,4501,2345.3759835174515
394,,260.21,0.0,0.0,90,1,0,4857,2778.913761767324
395,,260.79,0.0,0.0,75,1,0,4519,2720.3114843274707
396,,261.15,0.0,0.0,40,1,0,4486,2564.9221021218063
397,,260.93,0.0,0.0,1,1,1,4536,3932.828179009055
398,,260.93,0.0,0.0,90,1,1,3801,4345.149181712637
399,,260.88,0.0,0.0,90,1,1,3174,4344.210386334482
400,,261.28,0.0,0.0,90,1,0,2556,2799.003982859829
401,,261.41,0.0,0.0,90,1,0,2463,2801.4448508430323
402,,261.75,0.0,0.0,75,1,0,2801,2738.336355588036
403,,261.95,0.0,0.0,90,4,0,2089,2327.561246334216
404,,262.35,0.0,0.0,75,4,0,1053,2265.579305533006
405,,262.93,0.0,0.0,75,4,0,648,2276.4693319195976
406,,263.08,0.0,0.0,90,1,0,540,2832.8006164733897
407,,263.42,0.0,0.0,40,1,0,313,2607.5434122900188
408,,263.65,0.0,0.0,40,1,0,260,2611.8618710295286
409,,263.86,0.0,0.0,40,1,0,442,2615.804811617779
410,,263.75,0.0,0.0,75,1,0,769,2775.8881707142136
411,,264.55,0.0,0.0,90,1,1,1024,4413.117967091019
412,,264.79,0.0,0.0,75,1,1,1695,4348.131881079715
413,,265.29,0.0,0.0,1,1,1,2516,4014.6911359841233
414,,266.15,0.0,0.0,75,1,0,3256,2820.9503488656273
415,,267.22,0.0,0.0,1,1,0,3670,2498.2118710809973
416,,268.68,0.0,0.0,75,1,0,4070,2868.4533950002433
417,,269.88,0.0,0.0,75,1,0,4065,2890.9844840759497
418,,270.35,0.0,0.0,75,1,0,4409,2899.8091606306025
419,,270.79,0.0,0.0,75,1,0,4082,2908.0705599583616
420,,271.22,0.0,0.0,40,1,0,4050,2753.995491282114
421,,271.3,0.0,0.0,75,1,1,4099,4470.363039315424
422,,270.72,0.0,0.0,75,1,1,3388,4459.473012928833
423,,270.58,0.0,0.0,75,1,1,2780,4456.844385869999
424,,271.01,0.0,0.0,75,1,0,2261,2912.2012596222403
425,,271.87,0.0,0.0,75,1,0,1800,2928.348540126497
426,,272.36,0.0,0.0,40,1,0,1433,2775.400025904036
427,,272.56,0.0,0.0,75,1,0,1073,2941.3039163450285
428,,272.36,0.0,0.0,40,1,0,455,2775.400025904036
429,,271.21,0.0,0.0,1,1,0,289,2573.1277422577223
