,temp,rain_1h,snow_1h,clouds_all,weather_main,Rush Hour,traffic_volume,prediction
37,265.07,0.0,0.0,90,2,1,964,4368.275775605691
38,264.99,0.0,0.0,90,9,1,1477,3959.1027761465884
39,265.0,0.0,0.0,90,2,1,2250,4366.900861783939
40,265.08,0.0,0.0,90,2,0,2929,2815.091251737452
41,265.75,0.0,0.0,90,9,0,3200,2420.649471797111
42,266.15,0.0,0.0,90,9,0,3698,2428.5061222071163
43,266.86,0.0,0.0,90,9,0,3400,2442.4516766848774
44,266.86,0.0,0.0,90,6,0,3400,2617.1381064179213
45,267.15,0.0,0.0,90,9,0,3694,2448.1477482321316
46,267.15,0.0,0.0,90,7,0,3694,2564.60536805416
47,267.28,0.0,0.0,40,9,0,3851,2212.0254278205157
48,266.88,0.0,0.0,5,1,0,3529,2502.9262444422184
49,266.15,0.0,0.0,1,1,1,3196,4022.874739028857
50,265.22,0.0,0.0,75,9,1,2549,3892.017630593882
51,264.15,0.0,0.0,75,9,1,2339,3871.001090747115
52,263.22,0.0,0.0,75,9,0,2460,2299.3534384153627
53,261.86,0.0,0.0,75,9,0,2576,2272.6408270213415
54,261.86,0.0,0.0,75,4,0,2576,2563.7848765764147
55,261.02,0.0,0.0,40,9,0,2300,2089.0688489039203
56,259.37,0.0,0.0,1,1,0,1565,2336.3235744507656
57,257.95,0.0,0.0,1,1,0,1092,2308.4324654952443
58,256.95,0.0,0.0,1,1,0,666,2288.790839470229
59,256.28,0.0,0.0,90,9,0,487,2234.643273340216
60,256.35,0.0,0.0,90,9,0,349,2236.0181871619698
61,255.93,0.0,0.0,40,2,0,339,2396.694641813696
62,255.68,0.0,0.0,75,2,0,520,2558.8572475638493
63,256.15,0.0,0.0,90,9,0,798,2232.0898619569653
64,256.15,0.0,0.0,90,4,0,798,2523.2339115120376
65,255.75,0.0,0.0,90,4,1,942,4068.758201230521
66,255.75,0.0,0.0,90,6,1,942,3952.300581408492
67,255.07,0.0,0.0,40,6,1,1260,3700.2685439166135
68,255.07,0.0,0.0,40,9,1,1260,3525.5821141835704
69,253.86,0.0,0.0,20,6,1,1760,3581.0318837083987
70,253.43,0.0,0.0,20,6,0,2292,2019.205044389153
71,253.58,0.0,0.0,75,2,0,2653,2517.6098329113174
72,253.65,0.0,0.0,20,6,0,2957,2023.5262021146564
73,254.15,0.0,0.0,75,2,0,2983,2528.805559745576
74,254.29,0.0,0.0,40,2,0,2850,2364.4823751326703
75,254.42,0.0,0.0,40,2,0,2732,2367.035786515922
76,254.28,0.0,0.0,40,2,0,3045,2364.2859588724205
77,253.51,0.0,0.0,40,2,1,3134,3902.542846961649
78,253.65,0.0,0.0,40,2,1,3172,3905.2926746051508
79,253.57,0.0,0.0,5,1,1,3100,3794.8771421777565
80,253.23,0.0,0.0,5,1,0,2875,2234.8180492007623
81,253.0,0.0,0.0,5,1,0,2404,2230.300475215009
82,252.76,0.0,0.0,1,1,0,1798,2206.492426425416
83,252.57,0.0,0.0,1,1,0,1147,2202.760517480663
84,252.0,0.0,0.0,1,1,0,539,2191.5647906464046
85,251.86,0.0,0.0,1,1,0,326,2188.814963002903
86,251.29,0.0,0.0,1,1,0,213,2177.6192361686435
87,251.15,0.0,0.0,1,1,0,261,2174.869408525142
88,251.15,0.0,0.0,1,1,0,507,2174.869408525142
89,250.79,0.0,0.0,1,1,0,1761,2167.798423156136
90,250.43,0.0,0.0,1,1,0,3029,2160.727437787131
91,250.29,0.0,0.0,5,1,1,3203,3730.452608815707
92,250.56,0.0,0.0,20,2,1,2982,3749.1297574699074
93,250.61,0.0,0.0,1,1,1,3013,3717.6438706001227
94,251.14,0.0,0.0,5,1,0,3396,2193.7670508084802
95,252.14,0.0,0.0,5,1,0,3983,2213.4086768334955
96,253.29,0.0,0.0,1,1,0,4197,2216.902488218674
97,254.15,0.0,0.0,1,1,0,4487,2233.7942866001868
98,254.79,0.0,0.0,1,1,0,4828,2246.364927256196
99,255.36,0.0,0.0,1,1,0,5172,2257.5606540904555
100,255.61,0.0,0.0,5,1,0,5282,2281.5651191402985
101,255.15,0.0,0.0,5,1,1,4561,3825.91091129728
102,254.57,0.0,0.0,5,1,1,3598,3814.5187682027718
103,253.9,0.0,0.0,1,1,1,2846,3782.2648202224227
104,252.93,0.0,0.0,5,1,0,2369,2228.9255613932573
105,253.53,0.0,0.0,5,1,0,2031,2240.7105370082663
106,252.72,0.0,0.0,1,1,0,1882,2205.7067613844156
107,252.43,0.0,0.0,1,1,0,1065,2200.0106898371614
108,251.84,0.0,0.0,1,1,0,586,2188.4221304824023
109,251.29,0.0,0.0,1,1,0,378,2177.6192361686435
110,251.07,0.0,0.0,1,1,0,272,2173.29807844314
111,250.68,0.0,0.0,1,1,0,330,2165.6378442933847
112,250.08,0.0,0.0,1,1,0,712,2153.8528686783757
113,249.84,0.0,0.0,1,1,0,2287,2149.1388784323717
114,249.29,0.0,0.0,75,2,0,4250,2433.347257264002
115,249.38,0.0,0.0,5,1,1,4453,3712.5787291329434
116,249.3,0.0,0.0,5,1,1,4124,3711.0073990509427
117,249.45,0.0,0.0,1,1,1,3950,3694.859584411104
118,251.68,0.0,0.0,5,6,0,3858,1913.2294793069168
119,253.07,0.0,0.0,5,1,0,4401,2231.67538903676
120,254.86,0.0,0.0,5,1,0,4752,2266.833899621537
121,255.83,0.0,0.0,20,2,0,4836,2299.2601864932476
122,257.21,0.0,0.0,20,2,0,5250,2326.3656304077676
123,257.71,0.0,0.0,40,2,0,5398,2431.656736138222
124,257.38,0.0,0.0,40,2,0,5997,2425.1749995499677
125,257.57,0.0,0.0,1,1,1,5397,3854.3495877342284
126,256.14,0.0,0.0,75,2,1,4295,4121.2733356638455
127,256.32,0.0,0.0,75,2,1,2941,4124.8088283483485
128,255.73,0.0,0.0,40,2,0,2482,2392.7663166086923
129,255.76,0.0,0.0,40,2,0,2971,2393.3555653894427
130,256.15,0.0,0.0,1,1,0,3074,2273.0775386502164
131,256.9,0.0,0.0,1,1,0,1310,2287.808758168978
132,256.76,0.0,0.0,40,9,0,732,2005.3955220373573
133,256.79,0.0,0.0,75,9,0,412,2173.057783074515
134,257.22,0.0,0.0,90,9,0,288,2253.1064018037323
135,257.29,0.0,0.0,90,9,0,373,2254.4813156254822
136,257.29,0.0,0.0,90,6,0,373,2429.167745358526
137,257.48,0.0,0.0,90,9,0,743,2258.213224570236
138,257.48,0.0,0.0,90,6,0,743,2432.899654303279
139,257.43,0.0,0.0,90,9,0,2217,2257.2311432689858
140,257.43,0.0,0.0,90,4,0,2217,2548.375192824058
141,257.43,0.0,0.0,90,6,0,2217,2431.917573002029
142,257.3,0.0,0.0,90,9,0,3997,2254.677731885733
143,257.3,0.0,0.0,90,4,0,3997,2545.8217814408063
144,257.3,0.0,0.0,90,6,0,3997,2429.364161618777
145,257.61,0.0,0.0,90,9,1,3699,3814.1475760819776
146,257.61,0.0,0.0,90,4,1,3699,4105.29162563705
147,257.61,0.0,0.0,90,6,1,3699,3988.8340058150206
148,257.57,0.0,0.0,90,9,1,2745,3813.3619110409763
149,257.57,0.0,0.0,90,4,1,2745,4104.505960596049
150,257.79,0.0,0.0,90,9,1,3529,3817.6830687664797
151,257.79,0.0,0.0,90,4,1,3529,4108.827118321552
152,257.79,0.0,0.0,90,6,1,3529,3992.3694984995227
153,258.3,0.0,0.0,90,9,0,3562,2274.3193579107483
154,258.3,0.0,0.0,90,4,0,3562,2565.4634074658206
155,258.3,0.0,0.0,90,6,0,3562,2449.0057876437913
156,258.68,0.0,0.0,75,9,0,3433,2210.1804562617926
157,258.68,0.0,0.0,75,4,0,3433,2501.324505816866
158,258.68,0.0,0.0,75,6,0,3433,2384.8668859948366
159,259.36,0.0,0.0,90,9,0,3994,2295.1394814972646
160,259.36,0.0,0.0,90,6,0,3994,2469.8259112303076
161,260.07,0.0,0.0,90,9,0,3931,2309.085035975024
162,260.07,0.0,0.0,90,6,0,3931,2483.771465708068
163,260.29,0.0,0.0,90,9,0,4308,2313.406193700528
164,260.29,0.0,0.0,90,6,0,4308,2488.092623433572
165,260.45,0.0,0.0,90,9,0,4515,2316.5488538645295
166,260.45,0.0,0.0,90,6,0,4515,2491.2352835975735
167,260.84,0.0,0.0,90,9,0,5141,2324.209088014286
168,260.84,0.0,0.0,90,6,0,5141,2498.895517747329
169,260.65,0.0,0.0,90,9,1,4520,3873.858119198022
170,260.65,0.0,0.0,90,6,1,4520,4048.544548931065
171,260.76,0.0,0.0,90,9,1,3764,3876.018698060774
172,260.64,0.0,0.0,90,9,1,2849,3873.661702937772
173,260.29,0.0,0.0,90,9,0,2299,2313.406193700528
174,260.46,0.0,0.0,90,9,0,2180,2316.7452701247803
175,260.0,0.0,0.0,90,9,0,1916,2307.710122153274
176,260.0,0.0,0.0,90,4,0,1916,2598.8541717083463
177,259.0,0.0,0.0,90,9,0,1177,2288.0684961282586
178,258.36,0.0,0.0,75,9,0,741,2203.895135933788
179,257.07,0.0,0.0,75,9,0,437,2178.5574383615185
180,256.15,0.0,0.0,1,1,0,358,2273.0775386502164
181,255.57,0.0,0.0,20,2,0,383,2294.153363726743
182,255.01,0.0,0.0,1,1,0,694,2250.6860849816994
183,254.99,0.0,0.0,40,2,0,2207,2378.2315133501816
184,254.61,0.0,0.0,1,1,0,3875,2242.829434571694
185,254.07,0.0,0.0,90,2,1,4148,4152.2178893305245
186,254.53,0.0,0.0,90,2,1,3897,4161.253037302031
187,254.53,0.0,0.0,1,1,1,3845,3794.6390446181813
188,254.64,0.0,0.0,90,6,0,4109,2377.1174363922355
189,254.92,0.0,0.0,90,9,0,4345,2207.930661946197
190,255.5,0.0,0.0,90,9,0,4496,2219.322805040705
191,255.76,0.0,0.0,90,9,0,4474,2224.429627807209
192,256.15,0.0,0.0,90,9,0,4750,2232.0898619569653
193,256.15,0.0,0.0,90,6,0,4750,2406.7762916900083
194,256.61,0.0,0.0,90,9,0,4767,2241.1250099284734
195,256.61,0.0,0.0,90,6,0,4767,2415.8114396615165
196,256.58,0.0,0.0,90,9,0,4859,2240.535761147721
197,256.58,0.0,0.0,90,6,0,4859,2415.222190880765
198,256.58,0.0,0.0,90,9,1,4564,3793.916701276211
199,256.58,0.0,0.0,90,6,1,4564,3968.603131009254
200,256.61,0.0,0.0,90,9,1,3929,3794.5059500569623
201,256.61,0.0,0.0,90,6,1,3929,3969.1923797900054
202,256.53,0.0,0.0,90,9,1,3016,3792.93461997496
203,255.93,0.0,0.0,90,9,0,2470,2227.768704231463
204,255.08,0.0,0.0,40,2,0,2554,2379.999259692433
205,254.65,0.0,0.0,1,1,0,3725,2243.6150996126944
206,253.72,0.0,0.0,1,1,0,1684,2225.34838740943
207,252.94,0.0,0.0,1,1,0,1092,2210.027919109919
208,251.79,0.0,0.0,1,1,0,666,2187.440049181151
209,251.07,0.0,0.0,1,1,0,487,2173.29807844314
210,250.44,0.0,0.0,1,1,0,349,2160.9238540473807
211,249.69,0.0,0.0,1,1,0,339,2146.1926345286192
212,249.07,0.0,0.0,1,1,0,601,2134.0148263931096
213,248.44,0.0,0.0,1,1,0,1006,2121.64060199735
214,247.84,0.0,0.0,5,1,1,1216,3682.330625054419
215,247.29,0.0,0.0,5,1,1,1681,3671.5277307406614
216,247.15,0.0,0.0,5,1,1,2412,3668.7779030971597
217,247.79,0.0,0.0,5,1,0,3188,2127.96760362468
218,248.84,0.0,0.0,5,1,0,3716,2148.5913109509456
219,249.53,0.0,0.0,5,1,0,4160,2162.144032908206
220,250.38,0.0,0.0,1,1,0,4197,2159.7453564858797
221,251.5,0.0,0.0,5,1,0,4003,2200.838036177486
222,251.69,0.0,0.0,1,1,0,3831,2185.47588657865
223,251.68,0.0,0.0,40,2,0,4288,2313.217731207382
224,251.54,0.0,0.0,40,2,1,4376,3863.848843692369
225,250.61,0.0,0.0,1,1,1,4514,3717.6438706001227
226,250.46,0.0,0.0,40,2,1,3380,3842.635887585353
227,250.68,0.0,0.0,40,2,0,2597,2293.5761051823665
228,251.23,0.0,0.0,75,2,0,2271,2471.4520117525317
229,251.15,0.0,0.0,1,1,0,2352,2174.869408525142
230,251.38,0.0,0.0,1,1,0,2680,2179.386982510895
231,251.15,0.0,0.0,1,1,0,1000,2174.869408525142
232,251.01,0.0,0.0,1,1,0,711,2172.119580881639
233,250.93,0.0,0.0,1,1,0,519,2170.5482507996385
234,250.36,0.0,0.0,1,1,0,303,2159.35252396538
235,249.99,0.0,0.0,1,1,0,285,2152.085122336124
236,249.15,0.0,0.0,1,1,0,457,2135.5861564751112
237,248.31,0.0,0.0,1,1,0,808,2119.0871906140983
238,247.15,0.0,0.0,5,1,1,959,3668.7779030971597
239,246.36,0.0,0.0,5,1,1,1319,3653.261018537398
240,246.15,0.0,0.0,1,1,1,2384,3630.042218528555
241,246.68,0.0,0.0,5,1,0,3504,2106.1653987369136
242,247.37,0.0,0.0,1,1,0,3404,2100.624062150584
243,249.14,0.0,0.0,5,1,0,3438,2154.4837987584497
244,250.22,0.0,0.0,5,1,0,3212,2175.6967548654666
245,251.15,0.0,0.0,1,1,0,3410,2174.869408525142
246,251.93,0.0,0.0,1,1,0,3635,2190.1898768246538
247,252.46,0.0,0.0,1,1,0,3802,2200.599938617912
248,252.0,0.0,0.0,1,1,1,3513,3744.9457307748944
249,250.92,0.0,0.0,5,1,1,3350,3742.826833211466
250,249.84,0.0,0.0,1,1,1,2995,3702.5198185608606
251,249.79,0.0,0.0,5,1,0,2731,2167.25085567471
252,249.61,0.0,0.0,5,1,0,2483,2163.7153629902077
253,249.5,0.0,0.0,1,1,0,2041,2142.4607255838664
254,249.45,0.0,0.0,1,1,0,1580,2141.4786442826153
255,249.36,0.0,0.0,1,1,0,1478,2139.7108979403647
256,249.08,0.0,0.0,1,1,0,1408,2134.2112426533604
257,248.86,0.0,0.0,1,1,0,931,2129.890084927857
258,248.72,0.0,0.0,1,1,0,585,2127.1402572843544
259,248.43,0.0,0.0,1,1,0,381,2121.4441857371003
260,248.07,0.0,0.0,1,1,0,434,2114.3732003680943
261,248.15,0.0,0.0,1,1,0,686,2115.944530450096
262,247.76,0.0,0.0,1,1,1,677,3661.6652364288293
263,247.45,0.0,0.0,5,1,1,811,3674.6703909046646
264,247.43,0.0,0.0,1,1,1,1122,3655.183499840574
265,248.91,0.0,0.0,1,1,0,1738,2130.8721662291073
266,250.65,0.0,0.0,1,1,0,2421,2165.048595512634
267,251.99,0.0,0.0,1,1,0,2908,2191.3683743861548
268,253.29,0.0,0.0,1,1,0,2985,2216.902488218674
269,254.79,0.0,0.0,5,1,0,3214,2265.4589857997853
270,255.46,0.0,0.0,1,1,0,3410,2259.524816692957
271,255.79,0.0,0.0,5,1,0,3290,2285.1006118248006
272,255.15,0.0,0.0,1,1,1,3079,3806.816852753691
273,253.86,0.0,0.0,5,1,1,2891,3800.5732137250106
274,253.31,0.0,0.0,1,1,1,2199,3770.6762608676636
275,252.43,0.0,0.0,5,1,0,1738,2219.1047483807506
276,251.72,0.0,0.0,1,1,0,1555,2186.0651353594003
277,251.53,0.0,0.0,1,1,0,1213,2182.3332264146475
278,251.0,0.0,0.0,1,1,0,830,2171.9231646213893
279,251.14,0.0,0.0,1,1,0,477,2174.672992264891
280,251.07,0.0,0.0,1,4,0,279,1998.6116487100971
281,250.86,0.0,0.0,1,1,0,205,2169.1733369778876
282,250.86,0.0,0.0,1,1,0,299,2169.1733369778876
283,250.72,0.0,0.0,1,1,0,729,2166.423509334385
284,250.43,0.0,0.0,1,1,0,2544,2160.727437787131
285,250.38,0.0,0.0,1,1,0,4801,2159.7453564858797
286,249.93,0.0,0.0,5,1,1,5696,3723.3816234467013
287,250.01,0.0,0.0,1,1,1,4901,3705.858894985113
288,250.3,0.0,0.0,1,1,1,4189,3711.554966532369
289,252.5,0.0,0.0,1,1,0,4065,2201.3856036589123
290,255.43,0.0,0.0,75,2,0,4172,2553.9468410575955
291,257.86,0.0,0.0,75,2,0,4448,2601.675992298382
292,260.64,0.0,0.0,90,2,0,4537,2727.882432186384
293,261.72,0.0,0.0,90,2,0,4698,2749.095388293402
294,262.15,0.0,0.0,1,1,0,5232,2390.927294800307
295,262.29,0.0,0.0,90,9,0,5618,2352.6894457505587
296,262.29,0.0,0.0,90,4,0,5618,2643.833495305632
297,262.37,0.0,0.0,90,9,1,5178,3907.641715961049
298,262.37,0.0,0.0,90,4,1,5178,4198.7857655161215
299,262.45,0.0,0.0,90,9,1,3625,3909.21304604305
300,262.45,0.0,0.0,90,6,1,3625,4083.899475776093
301,263.07,0.0,0.0,90,9,1,2669,3921.3908541785595
302,263.07,0.0,0.0,90,4,1,2669,4212.534903733632
303,263.29,0.0,0.0,90,9,0,2056,2372.331071775574
304,263.53,0.0,0.0,90,9,0,2834,2377.045062021576
305,262.94,0.0,0.0,90,9,0,2785,2365.456502666819
306,262.48,0.0,0.0,90,9,0,1118,2356.4213546953124
307,261.79,0.0,0.0,90,9,0,599,2342.868632738051
308,260.86,0.0,0.0,90,6,0,353,2499.2883502678305
309,260.86,0.0,0.0,90,9,0,353,2324.6019205347875
310,260.06,0.0,0.0,90,6,0,283,2483.575049447818
311,258.72,0.0,0.0,40,2,0,358,2451.4947784234882
312,258.15,0.0,0.0,1,1,0,811,2312.360790700247
313,257.0,0.0,0.0,1,1,0,2739,2289.77292077148
314,256.58,0.0,0.0,1,1,0,5225,2281.523437840973
315,255.93,0.0,0.0,40,2,1,6017,3950.0755819421847
316,255.43,0.0,0.0,5,1,1,5398,3831.4105665842853
317,255.23,0.0,0.0,1,1,1,5142,3808.3881828356916
318,256.08,0.0,0.0,5,1,0,4092,2290.7966833720548
319,256.23,0.0,0.0,40,2,0,4328,2402.587129621201
320,257.29,0.0,0.0,40,2,0,4600,2423.407253207716
321,257.93,0.0,0.0,40,2,0,4591,2435.9778938637264
322,258.38,0.0,0.0,20,2,0,4983,2349.346332857036
323,258.46,0.0,0.0,5,1,0,5589,2337.543753311591
324,258.46,0.0,0.0,5,1,0,6317,2337.543753311591
325,257.44,0.0,0.0,5,1,1,5951,3870.890234894565
326,256.22,0.0,0.0,5,1,1,4350,3846.927451144047
327,255.72,0.0,0.0,5,1,1,3144,3837.1066381315395
328,254.82,0.0,0.0,5,1,0,2319,2266.048234580536
329,254.22,0.0,0.0,5,1,0,2105,2254.263258965527
330,253.62,0.0,0.0,1,1,0,1517,2223.3842248069286
331,253.51,0.0,0.0,1,1,0,991,2221.2236459441774
332,252.82,0.0,0.0,1,1,0,529,2207.670923986917
333,253.22,0.0,0.0,90,2,0,343,2582.141567080773
334,253.86,0.0,0.0,90,2,0,247,2594.712207736782
335,253.86,0.0,0.0,40,2,0,325,2356.0364759419144
336,253.22,0.0,0.0,40,2,0,827,2343.465835285905
337,252.72,0.0,0.0,1,1,0,2757,2205.7067613844156
338,252.14,0.0,0.0,1,1,0,5323,2194.3146182899063
339,252.72,0.0,0.0,40,2,1,6420,3887.025962401887
340,252.14,0.0,0.0,90,2,1,4478,4114.309551102246
341,253.38,0.0,0.0,90,2,1,4885,4138.665167373265
342,253.85,0.0,0.0,75,2,0,4259,2522.913071938071
343,254.29,0.0,0.0,90,2,0,4446,2603.158106927538
344,255.15,0.0,0.0,40,2,0,4738,2381.374173514184
345,256.01,0.0,0.0,40,2,0,4656,2398.2659718956966
346,256.61,0.0,0.0,40,2,0,5094,2410.0509475107065
347,256.95,0.0,0.0,40,2,0,5442,2416.729100359211
348,257.28,0.0,0.0,40,2,0,6450,2423.2108369474654
349,256.68,0.0,0.0,40,2,1,5993,3964.806801460947
350,255.81,0.0,0.0,40,2,1,4377,3947.7185868191827
351,255.43,0.0,0.0,20,2,1,3071,3844.784476211731
352,254.01,0.0,0.0,5,1,0,2646,2250.1385175002733
353,253.21,0.0,0.0,5,1,0,3933,2234.4252166802617
354,252.21,0.0,0.0,1,1,0,2422,2195.689532111658
355,251.35,0.0,0.0,1,1,0,1185,2178.7977337301445
356,250.75,0.0,0.0,1,1,0,630,2167.0127581151355
357,249.88,0.0,0.0,1,1,0,379,2149.924543473372
358,250.08,0.0,0.0,1,1,0,301,2153.8528686783757
359,249.79,0.0,0.0,1,1,0,335,2148.1567971311206
360,249.01,0.0,0.0,1,1,0,813,2132.8363288316086
361,249.65,0.0,0.0,1,1,0,2629,2145.406969487619
362,249.54,0.0,0.0,1,1,0,5002,2143.2463906248668
363,249.38,0.0,0.0,5,1,1,5906,3712.5787291329434
364,248.79,0.0,0.0,5,1,1,4742,3700.9901697781843
365,249.0,0.0,0.0,1,6,1,4704,3394.8768031447753
366,250.72,0.0,0.0,5,1,0,4279,2185.517567877974
367,252.08,0.0,0.0,5,1,0,4566,2212.2301792719954
368,253.41,0.0,0.0,40,2,0,4989,2347.197744230658
369,255.01,0.0,0.0,40,2,0,4968,2378.6243458706813
370,255.94,0.0,0.0,1,1,0,5315,2268.952797184964
371,256.28,0.0,0.0,40,2,0,5867,2403.56921092245
372,256.48,0.0,0.0,1,1,0,6504,2279.5592752384728
373,255.82,0.0,0.0,40,2,1,6185,3947.9150030794335
374,255.0,0.0,0.0,40,2,1,4611,3931.808869738921
375,253.58,0.0,0.0,40,2,1,3652,3903.917760783399
376,252.08,0.0,0.0,1,1,0,2880,2193.1361207284062
377,250.75,0.0,0.0,5,1,0,2815,2186.1068166587247
378,250.02,0.0,0.0,1,1,0,2978,2152.6743711168747
379,249.15,0.0,0.0,1,1,0,1805,2135.5861564751112
380,248.62,0.0,0.0,1,1,0,1003,2125.176094681853
381,247.65,0.0,0.0,1,4,0,673,1931.4372877045453
382,247.82,0.0,0.0,1,4,0,483,1934.7763641287984
383,247.35,0.0,0.0,1,1,0,319,2100.2312296300843
384,247.15,0.0,0.0,1,1,0,383,2096.3029044250807
385,247.15,0.0,0.0,1,1,0,694,2096.3029044250807
386,247.08,0.0,0.0,1,1,0,1129,2094.92799060333
387,247.21,0.0,0.0,5,1,1,1728,3669.9564006586606
388,247.62,0.0,0.0,5,6,1,2487,3386.8654177738435
389,248.08,0.0,0.0,1,4,1,3046,3493.264127023791
390,251.07,0.0,0.0,20,4,0,3593,2089.3084267921467
391,255.01,0.0,0.0,20,2,0,4092,2283.1540531527344
392,257.36,0.0,0.0,20,2,0,4506,2329.311874311521
393,259.08,0.0,0.0,1,1,0,4501,2330.6275029035114
394,260.21,0.0,0.0,90,2,0,4857,2719.436532995628
395,260.79,0.0,0.0,75,2,0,4519,2659.225956551677
396,261.15,0.0,0.0,40,2,0,4486,2499.223929664274
397,260.93,0.0,0.0,1,1,1,4536,3920.3454511782784
398,260.93,0.0,0.0,90,2,1,3801,4286.959443862128
399,260.88,0.0,0.0,90,2,1,3174,4285.977362560878
400,261.28,0.0,0.0,90,2,0,2556,2740.4530728423933
401,261.41,0.0,0.0,90,2,0,2463,2743.006484225647
402,261.75,0.0,0.0,75,2,0,2801,2678.081917535691
403,261.95,0.0,0.0,90,9,0,2089,2346.0112929020524
404,262.35,0.0,0.0,75,9,0,1053,2282.2652237736
405,262.93,0.0,0.0,75,9,0,648,2293.6573668681085
406,263.08,0.0,0.0,90,2,0,540,2775.807999687421
407,263.42,0.0,0.0,40,2,0,313,2543.810420741059
408,263.65,0.0,0.0,40,2,0,260,2548.327994726812
409,263.86,0.0,0.0,40,2,0,442,2552.4527361920655
410,263.75,0.0,0.0,75,2,0,769,2717.3651695857216
411,264.55,0.0,0.0,90,2,1,1024,4358.062130072683
412,264.79,0.0,0.0,75,2,1,1695,4291.173400780226
413,265.29,0.0,0.0,1,1,1,2516,4005.9829406473455
414,266.15,0.0,0.0,75,2,0,3256,2764.5050720457575
415,267.22,0.0,0.0,1,1,0,3670,2490.5103387471354
416,268.68,0.0,0.0,75,2,0,4070,2814.198385889046
417,269.88,0.0,0.0,75,2,0,4065,2837.768337119064
418,270.35,0.0,0.0,75,2,0,4409,2846.9999013508213
419,270.79,0.0,0.0,75,2,0,4082,2855.642216801828
420,271.22,0.0,0.0,40,2,0,4050,2697.0151037361775
421,271.3,0.0,0.0,75,2,1,4099,4419.040386203074
422,270.72,0.0,0.0,75,2,1,3388,4407.648243108566
423,270.58,0.0,0.0,75,2,1,2780,4404.898415465064
424,271.01,0.0,0.0,75,2,0,2261,2859.9633745273304
425,271.87,0.0,0.0,75,2,0,1800,2876.855172908844
426,272.36,0.0,0.0,40,2,0,1433,2719.4065574046945
427,272.56,0.0,0.0,75,2,0,1073,2890.4078948661045
428,272.36,0.0,0.0,40,2,0,455,2719.4065574046945
429,271.21,0.0,0.0,1,1,0,289,2568.880426586945
430,270.22,0.0,0.0,1,1,0,220,2549.4352168221803
431,270.01,0.0,0.0,1,4,0,361,2370.624045623884
432,269.95,0.0,0.0,1,4,0,820,2369.445548062383
433,270.07,0.0,0.0,1,1,0,2809,2546.488972918428
434,269.48,0.0,0.0,1,1,0,5189,2534.9004135636687
435,269.43,0.0,0.0,5,1,1,6048,4106.3933309344975
436,269.29,0.0,0.0,1,1,1,5751,4084.549444747405
437,268.94,0.0,0.0,40,2,1,4728,4205.613136527632
438,270.08,0.0,0.0,1,1,0,4138,2546.6853891786777
439,272.14,0.0,0.0,75,2,0,4324,2882.1584119355975
440,272.58,0.0,0.0,1,1,0,4512,2595.789454241215
441,274.01,0.0,0.0,20,2,0,4786,2656.344947628022
442,274.58,0.0,0.0,1,1,0,4880,2635.0727062912456
443,275.21,0.0,0.0,40,2,0,5406,2775.385191575987
